,代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
0,sz159998,计算机ETF,1.022,0.02,1.996,1.021,1.022,1.002,0.999,1.022,0.995,95950200,96751098
1,sz159997,电子ETF,1.213,0.025,2.104,1.213,1.214,1.188,1.183,1.213,1.183,21130205,25346427
2,sz159996,家电ETF,1.418,0.036,2.605,1.417,1.418,1.382,1.38,1.418,1.378,58153710,81582931
3,sz159995,芯片ETF,1.328,0.026,1.997,1.328,1.329,1.302,1.304,1.33,1.301,611321702,805959885
4,sz159994,5GETF,0.97,0.023,2.429,0.969,0.97,0.947,0.947,0.97,0.943,39471800,37964584
5,sz159993,证券ETF龙头,1.212,0.035,2.974,1.212,1.213,1.177,1.177,1.226,1.177,167951000,202509009
6,sz159992,创新药ETF,0.727,0.018,2.539,0.726,0.727,0.709,0.71,0.727,0.709,750329117,540582372
7,sz159991,创大盘ETF,0.481,0.008,1.691,0.481,0.483,0.473,0.47,0.485,0.468,20406302,9762426
8,sz159985,豆粕ETF,1.966,0.016,0.821,1.965,1.966,1.95,1.957,1.968,1.952,172989100,339170002
9,sz159982,中证500ETF鹏华,1.551,0.025,1.638,1.55,1.551,1.526,1.526,1.554,1.522,7672400,11836581
10,sz159981,能源化工ETF,1.396,0.022,1.601,1.396,1.397,1.374,1.378,1.397,1.378,37616400,52154137
11,sz159980,有色ETF,1.761,0.032,1.851,1.761,1.762,1.729,1.777,1.779,1.751,173202387,305227137
12,sz159977,创业板ETF天弘,2.291,0.062,2.782,2.29,2.291,2.229,2.229,2.295,2.224,29248400,66426079
13,sz159976,湾创ETF,1.185,0.03,2.597,1.185,1.187,1.155,1.164,1.187,1.161,343703,406474
14,sz159975,深100ETF招商,0.587,0.013,2.265,0.581,0.588,0.574,0.577,0.589,0.576,14857000,8652627
15,sz159974,央企创新ETF,1.615,0.021,1.317,1.615,1.616,1.594,1.599,1.616,1.599,1107700,1780980
16,sz159973,民企ETF,1.41,0.035,2.545,1.409,1.41,1.375,1.377,1.413,1.377,1029500,1442758
17,sz159972,5年地债ETF,114.869,-0.035,-0.03,114.863,114.869,114.904,114.841,114.89,114.776,6331200,727044869
18,sz159971,创业板ETF富国,1.535,0.042,2.813,1.534,1.535,1.493,1.492,1.537,1.489,37373500,56997107
19,sz159970,深100ETF工银,4.813,0.119,2.535,4.774,4.823,4.694,4.734,4.823,4.727,61435,294407
20,sz159969,深100ETF银华,1.202,0.027,2.298,1.202,1.205,1.175,1.183,1.206,1.183,1508100,1805230
21,sz159968,中证500ETF博时,7.521,0.14,1.897,7.509,7.511,7.381,7.388,7.521,7.363,2897271,21667286
