day,open,high,low,close,volume
2025-02-14 14:02:00,3335.995,3337.371,3335.670,3337.371,157592200
2025-02-14 14:03:00,3337.269,3337.269,3335.256,3335.256,128236000
2025-02-14 14:04:00,3335.166,3335.760,3333.682,3335.760,191463200
2025-02-14 14:05:00,3335.948,3335.948,3333.704,3333.938,135144100
2025-02-14 14:06:00,3333.775,3335.248,3333.421,3334.254,166604900
2025-02-14 14:07:00,3334.159,3334.925,3333.425,3334.847,141985700
2025-02-14 14:08:00,3334.570,3334.859,3334.171,3334.563,121491000
2025-02-14 14:09:00,3334.047,3334.616,3333.902,3333.902,110949300
2025-02-14 14:10:00,3333.714,3334.941,3333.714,3334.625,138390800
2025-02-14 14:11:00,3334.581,3335.623,3334.294,3335.615,136368600
2025-02-14 14:12:00,3335.463,3337.015,3335.463,3336.950,165320700
2025-02-14 14:13:00,3336.601,3337.953,3336.437,3337.655,143142300
2025-02-14 14:14:00,3337.407,3339.500,3336.796,3339.500,151980000
2025-02-14 14:15:00,3339.745,3341.666,3339.745,3341.662,190199600
2025-02-14 14:16:00,3341.289,3341.441,3339.029,3339.029,137821800
2025-02-14 14:17:00,3338.907,3339.079,3338.309,3339.079,132034400
2025-02-14 14:18:00,3339.019,3339.055,3337.731,3337.866,103341100
2025-02-14 14:19:00,3337.886,3339.110,3337.886,3339.110,111404700
2025-02-14 14:20:00,3338.679,3340.392,3338.482,3339.803,138325400
2025-02-14 14:21:00,3339.682,3341.761,3339.682,3341.436,161020600
2025-02-14 14:22:00,3341.350,3343.130,3341.350,3342.105,195120100
2025-02-14 14:23:00,3341.911,3342.717,3341.476,3342.498,125064200
2025-02-14 14:24:00,3342.437,3342.437,3341.070,3341.091,117426000
2025-02-14 14:25:00,3341.139,3341.501,3340.929,3341.501,116955600
2025-02-14 14:26:00,3341.215,3341.572,3340.444,3340.444,108403700
2025-02-14 14:27:00,3340.133,3340.133,3339.376,3340.051,129490200
2025-02-14 14:28:00,3339.854,3340.399,3339.263,3339.488,106019700
2025-02-14 14:29:00,3339.567,3339.652,3339.093,3339.229,110234200
2025-02-14 14:30:00,3339.482,3339.697,3338.472,3338.745,127036800
