day,open,high,low,close,volume
2025-02-17 13:53:00,4.125,4.125,4.124,4.124,320400
2025-02-17 13:54:00,4.125,4.126,4.124,4.125,1459300
2025-02-17 13:55:00,4.124,4.125,4.122,4.122,1865400
2025-02-17 13:56:00,4.124,4.127,4.123,4.126,1062800
2025-02-17 13:57:00,4.126,4.126,4.125,4.125,1626700
2025-02-17 13:58:00,4.124,4.125,4.124,4.124,923000
2025-02-17 13:59:00,4.123,4.125,4.122,4.124,1233366
2025-02-17 14:00:00,4.124,4.125,4.123,4.123,995900
2025-02-17 14:01:00,4.124,4.124,4.122,4.122,1194200
2025-02-17 14:02:00,4.122,4.124,4.121,4.124,1333427
2025-02-17 14:03:00,4.125,4.126,4.121,4.121,318600
2025-02-17 14:04:00,4.122,4.124,4.122,4.124,976000
2025-02-17 14:05:00,4.125,4.127,4.125,4.125,337000
2025-02-17 14:06:00,4.126,4.128,4.126,4.128,260100
2025-02-17 14:07:00,4.128,4.129,4.127,4.127,553800
2025-02-17 14:08:00,4.128,4.129,4.126,4.126,517600
2025-02-17 14:09:00,4.126,4.127,4.124,4.127,453600
2025-02-17 14:10:00,4.126,4.127,4.124,4.124,273500
2025-02-17 14:11:00,4.123,4.126,4.122,4.126,438600
2025-02-17 14:12:00,4.126,4.127,4.125,4.126,333500
2025-02-17 14:13:00,4.126,4.128,4.126,4.127,365800
2025-02-17 14:14:00,4.128,4.129,4.127,4.127,214100
2025-02-17 14:15:00,4.127,4.130,4.127,4.129,348200
2025-02-17 14:16:00,4.129,4.132,4.129,4.132,595500
2025-02-17 14:17:00,4.132,4.135,4.131,4.132,797700
2025-02-17 14:18:00,4.132,4.133,4.129,4.130,329600
2025-02-17 14:19:00,4.131,4.133,4.130,4.131,423400
2025-02-17 14:20:00,4.131,4.132,4.131,4.132,426700
2025-02-17 14:21:00,4.132,4.134,4.131,4.131,352100
2025-02-17 14:22:00,4.132,4.133,4.132,4.132,206800
2025-02-17 14:23:00,4.132,4.134,4.132,4.133,468300
2025-02-17 14:24:00,4.133,4.133,4.130,4.131,416800
2025-02-17 14:25:00,4.130,4.133,4.129,4.133,354000
2025-02-17 14:26:00,4.133,4.134,4.132,4.134,246200
2025-02-17 14:27:00,4.133,4.134,4.132,4.132,403900
2025-02-17 14:28:00,4.131,4.133,4.131,4.131,488100
2025-02-17 14:29:00,4.132,4.134,4.132,4.133,1379100
2025-02-17 14:30:00,4.134,4.135,4.134,4.134,584311
2025-02-17 14:31:00,4.134,4.136,4.134,4.136,498300
2025-02-17 14:32:00,4.136,4.136,4.133,4.135,305200
2025-02-17 14:33:00,4.135,4.136,4.134,4.135,1400800
2025-02-17 14:34:00,4.135,4.137,4.135,4.135,1483700
2025-02-17 14:35:00,4.135,4.137,4.135,4.137,1463000
2025-02-17 14:36:00,4.137,4.138,4.136,4.136,1495200
2025-02-17 14:37:00,4.135,4.136,4.133,4.134,974100
2025-02-17 14:38:00,4.133,4.135,4.132,4.133,340200
2025-02-17 14:39:00,4.133,4.134,4.131,4.134,349600
2025-02-17 14:40:00,4.135,4.136,4.135,4.136,447400
2025-02-17 14:41:00,4.137,4.137,4.135,4.135,232800
2025-02-17 14:42:00,4.136,4.139,4.135,4.138,828700
2025-02-17 14:43:00,4.139,4.139,4.137,4.138,312700
2025-02-17 14:44:00,4.139,4.140,4.138,4.139,762100
2025-02-17 14:45:00,4.139,4.140,4.138,4.139,149500
2025-02-17 14:46:00,4.139,4.140,4.139,4.139,179400
2025-02-17 14:47:00,4.139,4.142,4.139,4.142,2159300
2025-02-17 14:48:00,4.141,4.142,4.141,4.142,2096100
2025-02-17 14:49:00,4.142,4.143,4.140,4.140,1457400
2025-02-17 14:50:00,4.140,4.142,4.140,4.141,1014300
2025-02-17 14:51:00,4.141,4.142,4.139,4.139,2096500
2025-02-17 14:52:00,4.139,4.140,4.138,4.139,867900
2025-02-17 14:53:00,4.140,4.141,4.139,4.139,746400
2025-02-17 14:54:00,4.139,4.142,4.139,4.141,1186000
2025-02-17 14:55:00,4.141,4.142,4.141,4.142,957600
2025-02-17 14:56:00,4.142,4.144,4.142,4.143,1379700
2025-02-17 14:57:00,4.142,4.143,4.142,4.142,195700
2025-02-17 15:00:00,4.142,4.142,4.142,4.142,702700
2025-02-18 09:31:00,4.140,4.141,4.134,4.136,1057100
2025-02-18 09:32:00,4.138,4.138,4.134,4.136,195500
2025-02-18 09:33:00,4.135,4.137,4.135,4.136,261200
2025-02-18 09:34:00,4.137,4.140,4.136,4.138,685400
2025-02-18 09:35:00,4.139,4.143,4.139,4.142,2004374
2025-02-18 09:36:00,4.142,4.144,4.141,4.142,746500
2025-02-18 09:37:00,4.142,4.143,4.140,4.143,758500
2025-02-18 09:38:00,4.143,4.144,4.140,4.141,1046000
2025-02-18 09:39:00,4.140,4.141,4.137,4.138,470800
2025-02-18 09:40:00,4.138,4.139,4.137,4.139,409800
2025-02-18 09:41:00,4.140,4.140,4.137,4.139,139600
2025-02-18 09:42:00,4.138,4.138,4.136,4.136,125600
2025-02-18 09:43:00,4.137,4.137,4.134,4.135,560000
2025-02-18 09:44:00,4.134,4.135,4.132,4.134,509300
2025-02-18 09:45:00,4.134,4.136,4.134,4.134,309900
2025-02-18 09:46:00,4.134,4.135,4.132,4.132,265900
2025-02-18 09:47:00,4.133,4.134,4.132,4.134,173100
2025-02-18 09:48:00,4.134,4.137,4.134,4.135,301900
2025-02-18 09:49:00,4.134,4.135,4.131,4.131,448400
2025-02-18 09:50:00,4.132,4.136,4.132,4.135,396500
2025-02-18 09:51:00,4.135,4.135,4.134,4.135,256500
2025-02-18 09:52:00,4.135,4.135,4.133,4.133,28900
2025-02-18 09:53:00,4.132,4.132,4.130,4.132,1238100
2025-02-18 09:54:00,4.133,4.134,4.133,4.134,1048000
2025-02-18 09:55:00,4.134,4.136,4.133,4.136,2390600
2025-02-18 09:56:00,4.136,4.139,4.136,4.137,611400
2025-02-18 09:57:00,4.137,4.139,4.136,4.136,4540400
2025-02-18 09:58:00,4.137,4.139,4.136,4.136,8410300
2025-02-18 09:59:00,4.136,4.139,4.136,4.138,3494200
2025-02-18 10:00:00,4.139,4.140,4.137,4.138,1789800
2025-02-18 10:01:00,4.138,4.142,4.138,4.142,8595100
2025-02-18 10:02:00,4.142,4.143,4.141,4.142,3839500
2025-02-18 10:03:00,4.142,4.142,4.140,4.142,2432200
2025-02-18 10:04:00,4.142,4.144,4.140,4.141,9479100
2025-02-18 10:05:00,4.141,4.141,4.140,4.140,1948900
2025-02-18 10:06:00,4.139,4.139,4.137,4.137,1819200
2025-02-18 10:07:00,4.137,4.138,4.136,4.136,324100
2025-02-18 10:08:00,4.136,4.138,4.136,4.137,153200
2025-02-18 10:09:00,4.137,4.137,4.136,4.136,1239000
2025-02-18 10:10:00,4.136,4.138,4.136,4.138,136300
2025-02-18 10:11:00,4.138,4.138,4.135,4.137,401600
2025-02-18 10:12:00,4.135,4.135,4.133,4.133,239000
2025-02-18 10:13:00,4.133,4.134,4.132,4.133,339100
2025-02-18 10:14:00,4.133,4.134,4.133,4.133,186700
2025-02-18 10:15:00,4.133,4.134,4.133,4.133,35100
2025-02-18 10:16:00,4.133,4.135,4.132,4.134,197300
2025-02-18 10:17:00,4.135,4.136,4.134,4.136,43500
2025-02-18 10:18:00,4.136,4.137,4.135,4.137,167600
2025-02-18 10:19:00,4.137,4.137,4.136,4.136,37500
2025-02-18 10:20:00,4.136,4.137,4.136,4.136,38900
2025-02-18 10:21:00,4.136,4.137,4.136,4.137,83600
2025-02-18 10:22:00,4.137,4.138,4.137,4.137,535200
2025-02-18 10:23:00,4.137,4.137,4.137,4.137,72200
2025-02-18 10:24:00,4.138,4.140,4.138,4.140,510300
2025-02-18 10:25:00,4.140,4.140,4.139,4.139,146700
2025-02-18 10:26:00,4.139,4.141,4.139,4.140,525000
2025-02-18 10:27:00,4.140,4.144,4.140,4.144,387600
2025-02-18 10:28:00,4.144,4.145,4.143,4.143,312600
2025-02-18 10:29:00,4.143,4.143,4.141,4.141,150600
2025-02-18 10:30:00,4.142,4.142,4.140,4.142,258600
2025-02-18 10:31:00,4.143,4.144,4.141,4.144,664500
2025-02-18 10:32:00,4.144,4.144,4.141,4.142,275300
2025-02-18 10:33:00,4.142,4.143,4.141,4.141,1167500
2025-02-18 10:34:00,4.141,4.142,4.141,4.142,240400
2025-02-18 10:35:00,4.142,4.143,4.141,4.142,632400
2025-02-18 10:36:00,4.143,4.148,4.142,4.147,1260700
2025-02-18 10:37:00,4.147,4.151,4.147,4.151,1239400
2025-02-18 10:38:00,4.152,4.155,4.152,4.153,1068400
2025-02-18 10:39:00,4.153,4.153,4.149,4.150,592100
2025-02-18 10:40:00,4.151,4.158,4.151,4.158,1417000
2025-02-18 10:41:00,4.158,4.160,4.155,4.159,1048700
2025-02-18 10:42:00,4.159,4.161,4.156,4.157,1055600
2025-02-18 10:43:00,4.157,4.158,4.155,4.155,526700
2025-02-18 10:44:00,4.155,4.159,4.154,4.159,483100
2025-02-18 10:45:00,4.159,4.159,4.156,4.158,957900
2025-02-18 10:46:00,4.159,4.159,4.155,4.158,692200
2025-02-18 10:47:00,4.158,4.159,4.153,4.153,1034100
2025-02-18 10:48:00,4.154,4.155,4.152,4.152,270100
2025-02-18 10:49:00,4.151,4.153,4.150,4.152,565600
2025-02-18 10:50:00,4.153,4.155,4.152,4.155,211100
2025-02-18 10:51:00,4.155,4.155,4.151,4.151,159200
2025-02-18 10:52:00,4.152,4.153,4.150,4.150,212800
2025-02-18 10:53:00,4.150,4.150,4.148,4.148,1167300
2025-02-18 10:54:00,4.148,4.149,4.146,4.146,367400
2025-02-18 10:55:00,4.147,4.151,4.147,4.151,397700
2025-02-18 10:56:00,4.151,4.153,4.151,4.152,153500
2025-02-18 10:57:00,4.152,4.152,4.150,4.151,155400
2025-02-18 10:58:00,4.152,4.155,4.152,4.154,189700
2025-02-18 10:59:00,4.154,4.157,4.154,4.156,411400
